Institución que abrió la licitación,Institución Destino,Fecha de apertura,Mantenimiento de la oferta,Código de licitación,N° Expediente,Descripción Extraida,Producto,Cantidad,Unidades,Nro Renglón,Línea de Producto,Latitud,Longitud
HOSPITAL MATERNO INFANTIL DR. HECTOR QUINTANA,HOSPITAL MATERNO INFANTIL DR. HECTOR QUINTANA,2025-02-19,30 dias,Contratación Directa 161/2025,0--0/0,"ALIMENTO CETOGÉNICO A BASE DE LIPIDOS, PROTEINAS, VITAMINAS Y MINERALES PARA NIÑOS MAYORES DE 1 AÑO X 300 GRS. T: Ketocal 4:1",KETOCAL 4:1 6X300G,24,ENVASE/S,1,Ketocal,-24.1812028,-65.3151528
HOSPITAL MATERNO INFANTIL DR. HECTOR QUINTANA,HOSPITAL MATERNO INFANTIL DR. HECTOR QUINTANA,2025-02-19,30 dias,Contratación Directa 161/2025,0--0/0,"SUPLEMENTO DIETARIO EN POLVO A BASE DE HC, PROTEINAS, LIPIDOS, FIBRAS, VITAMINAS Y MINERALES P/ NIÑOS MENORES DE 10 AÑOS X 400 GRS LIBRE DE GLUTEN. LIBRE LACTOSA SIN TACC TIPO PEDIASURE",FORTINI NEUTRO LATA X 400G,300,UNIDAD/ES,2,Fortini,-24.1812028,-65.3151528
HOSPITAL MATERNO INFANTIL DR. HECTOR QUINTANA,HOSPITAL MATERNO INFANTIL DR. HECTOR QUINTANA,2025-02-19,30 dias,Contratación Directa 161/2025,0--0/0,ALIMENTO NUTRICIONAL CON PROTEINAS EXTENSAMENTE HIDROLIZABLE BAJO EN SODIO X 400 GRS TIPO PEPTI JUNIOR,NUTRILON PEPTI JUNIOR LATA X 400G,200,ENVASE/S,3,Nutrilon,-24.1812028,-65.3151528
HOSPITAL MATERNO INFANTIL DR. HECTOR QUINTANA,HOSPITAL MATERNO INFANTIL DR. HECTOR QUINTANA,2025-02-19,30 dias,Contratación Directa 161/2025,0--0/0,ALIMENTO LIBRE DE LACTOSA X 400 GRS,NUTRILON SIN LACTOSA LATA X350G,400,ENVASE/S,4,Nutrilon,-24.1812028,-65.3151528
PROVINCIA DE SANTA FE,HOSPITAL PROTOMÉDICO MANUEL RODRÍGUEZ,2025-02-13,30 DÍAS,CONTRATACION DIRECTA ACELERADA Nº 6-2025,7827,"CASEINATO DE CALCIO (SUPLEMENTO PROTEICO): Alimento para propósitos médicos específicos de proteínas a base del caseinato de calcio en polvo. Sin TACC. Sabor Neutro. Tipo: Secalbum, Nutrex CC. (Las presentaciones pueden ser de 225 a 350 gramos)",SECALBUM LATA X 225 GR,12,GRAMOS,3,Secalbum,-30.3154739,-61.1645076
PROVINCIA DE SANTA FE,HOSPITAL PROTOMÉDICO MANUEL RODRÍGUEZ,2025-02-13,30 DÍAS,CONTRATACION DIRECTA ACELERADA Nº 6-2025,7827,"FORMULA COMPLETA CON HIDRATOS DE CARBONO MODIFICADOS PARA PACIENTES DIABETICOS: Alimento en polvo para propósitos médicos específicos, para adultos, modificado en el contenido de carbohidratos para pacientes con diabetes o con alteración del metabolismo de la glucosa. Sin sabor. Libre de gluten. Tipo: Glucerna, Avant DBT. (Las presentaciones pueden ser 300 a 800 gramos)",DIASIP LATA X 350G,12,GRAMOS,4,Diasip,-30.3154739,-61.1645076
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,ALMIDON DE MAIZ MODIFICADO ESPESANTE INSTANTANEO X 300 GRS,ESPESAN PLUS (NUTILIS) 12X300G ARG,140,UN,2,Espesan,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,CASEINATO DE CALCIO POLVO SECALBUM X 250 GRS,SECALBUM LATA X 225 GR,48,UN,3,Secalbum,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,FORMULA CON HMB ENSURE CLINICAL RTH FRASCO X 500 ML,NUTRISON PROTEIN INTENSE BOTELLA X 500ML,500,UN,5,Nutrison,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,FORMULA ENTERAL HIPERPROTEICA E HIPERCALORICA PARA PACIENTES CRITICO ENV. X500CC T/NUTRISON ADVANCE PROTISON,NUTRISON ADVANCED PROTISON BTLLA X 500ML,600,UN,7,Nutrison,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"FORMULA ESPECIALMENTE DISEÑADA PARA LACTANTES CON SINTOMAS ASOCIADOS AL REFLUJO GASTROESOFAGICO TIPO ENFABEBE AR VITAL AR, NUTRILON AR",NUTRILON AR 1 LATA X 400G,3,UN,8,Nutrilon,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,"FORMULA ESPECIALMENTE DISEÑADA PARA LACTANTES CON SINTOMAS ASOCIADOS AL REFLUJO GASTROESOFAGICO TIPO ENFABEBE AR VITAL AR, NUTRILON AR",VITAL AR LATA X 400G,3,UN,8,Vital,-34.5112578,-58.4906088
MUNICIPALIDAD DE VICENTE LÓPEZ,"HOSPITAL MUNICIPAL PROF. DR. BERNARDO A. HOUSSAY, MATERNIDAD SANTA ROSA, HOSPITAL GERIÁTRICO RODRIGUEZ ORTEGA Y DIRECCIÓN DE ATENCIÓN PRIMARIA",2024-10-08,30 días hábiles,PLIE-223-2024,,FORMULA ISOCALORICA NUTRICIONALMENTE COMPLETA PARA PACIENTES DIABETICOS E HIPEGLUCEMICOS TIPO DIASIP POLVO,DIASIP LATA X 350G,100,UN,9,Diasip,-34.5112578,-58.4906088
